/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'CYTK1_f                       '292.73791
'CYTK1_b                       '  0.00000
'CYTK2_f                       '292.68713
'CYTK2_b                       '  0.00000
'DAAD                          '  0.00000
'DADA                          '117.07596
'DADK_f                        '292.68713
'DADK_b                        '  0.00000
'DADNt2pp                      '  0.00000
'DADNtex_f                     '  0.00000
'DADNtex_b                     '  0.00000
'DAGK120                       '292.68713
'DAGK140                       '292.68713
'DAGK141                       '292.68713
'DAGK160                       '292.68713
'DAGK161                       '292.68713
'DAGK180                       '292.68713
'DAGK181                       '292.68713
'DALAt2pp                      ' 57.11880
'DALAtex_f                     '  0.00000
'DALAtex_b                     '  0.00000
'DAMPtex_f                     '  0.00000
'DAMPtex_b                     '  0.00000
'DAPabcpp                      '  0.00000
'DAPAL                         '  0.00000
'DAPDC                         ' 48.88351
'DAPE_f                        ' 48.89206
'DAPE_b                        '  0.00000
'DAPtex_f                      '  0.00000
'DAPtex_b                      '  0.00000
'DASYN120                      '292.68713
'DASYN140                      '292.68713
'DASYN141                      '292.68713
'DASYN160                      '292.70593
'DASYN161                      '292.70175
'DASYN180                      '292.68713
'DASYN181                      '292.69467
'DATPHs                        ' 71.67848
'DB4PS                         '  0.00278
'DBTS                          '  0.00000
'DCAtex_f                      '  0.00000
'DCAtex_b                      '  0.00000
'DCMPtex_f                     '  0.00000
'DCMPtex_b                     '  0.00000
'DCTPD                         ' 81.68353
'DCYTD                         '  0.00000
'DCYTt2pp                      '  0.00000
'DCYTtex_f                     '  0.00000
'DCYTtex_b                     '  0.00000
'DDCAtexi                      '  0.00000
'DDGALK                        '  0.00000
'DDGLCNt2rpp_f                 '  0.00000
'DDGLCNt2rpp_b                 '  0.00000
'DDGLCNtex_f                   '  0.00000
'DDGLCNtex_b                   '  0.00000
'DDGLK                         '  0.00000
'DDPA                          ' 34.38900
'DDPGALA_f                     '  0.00000
'DDPGALA_b                     '  0.00000
'DGK1_f                        '292.68713
'DGK1_b                        '  0.00000
'DGMPtex_f                     '  0.00000
'DGMPtex_b                     '  0.00000
'DGSNt2pp                      '  0.00000
'DGSNtex_f                     '  0.00000
'DGSNtex_b                     '  0.00000
'DHAD1                         ' 97.98977
'DHAD2                         ' 50.36860
'DHAPT                         '282.36963
'DHAtex_f                      '  0.00000
'DHAtex_b                      '  0.00000
'DHAtpp_f                      '  0.00000
'DHAtpp_b                      '  0.00000
'DHBD_f                        ' 23.19766
'DHBD_b                        '  0.00000
'DHBS                          '146.34377
'DHBSH                         '146.34356
'DHCIND                        '  0.00000
'DHCINDO                       '  0.00000
'DHDPRy                        ' 48.89206
'DHDPS                         ' 48.89206
'DHFR_f                        ' 24.74209
'DHFR_b                        '  0.00000
'DHFS                          '  0.00278
'DHNAOT4                       '  0.00139
'DHNPA2                        '  0.00278
'DHORD2                        '  0.00000
'DHORD5                        ' 43.46036
'DHORTS_f                      ' -0.09930
'DHORTS_b                      '  0.00000
'DHPPD                         '  0.00000
'DHPPDA2                       '  0.00139
'DHPS2                         '  0.00278
'DHPTDCs                       ' 51.27407
'DHPTPE_f                      '  0.00000
'DHPTPE_b                      '  0.00000
