* Pathways from iAF1260

ASPCT	[c] : asp-L + cbp --> cbasp + h + pi
ASPK	[c] : asp-L + atp <==> 4pasp + adp
ASPO3	[c] : asp-L + q8 --> h + iasp + q8h2
ASPO4	[c] : asp-L + mqn8 --> h + iasp + mql8
ASPO5	[c] : asp-L + fum --> h + iasp + succ
ASPO6	[c] : asp-L + o2 --> h + h2o2 + iasp
ASPT	[c] : asp-L --> fum + nh4
ASPt2_2pp	asp-L[p] + (2) h[p] --> asp-L[c] + (2) h[c]
ASPt2_3pp	asp-L[p] + (3) h[p] --> asp-L[c] + (3) h[c]
ASPt2pp	asp-L[p] + h[p] --> asp-L[c] + h[c]
ASPTA	[c] : akg + asp-L <==> glu-L + oaa
ASPtex	asp-L[e] <==> asp-L[p]
ASPTRS	[c] : asp-L + atp + trnaasp --> amp + asptrna + ppi
ASR	[c] : aso4 + (2) gthrd --> aso3 + gthox + h2o
AST	[c] : arg-L + succoa --> coa + h + sucarg
ATHRDHr	[c] : athr-L + nadp <==> 2aobut + h + nadph
ATPHs	[c] : atp + h + h2o --> itp + nh4
ATPM	[c] : atp + h2o --> adp + h + pi
ATPPRT	[c] : atp + prpp --> ppi + prbatp
ATPS4rpp	adp[c] + (4) h[p] + pi[c] <==> atp[c] + (3) h[c] + h2o[c]
BALAt2pp	ala-B[p] + h[p] --> ala-B[c] + h[c]
BALAtex	ala-B[e] <==> ala-B[p]
BETALDHx	[c] : betald + h2o + nad --> glyb + (2) h + nadh
BETALDHy	[c] : betald + h2o + nadp --> glyb + (2) h + nadph
BPNT	[c] : h2o + pap --> amp + pi
BSORx	[c] : btnso + h + nadh --> btn + h2o + nad
BSORy	[c] : btnso + h + nadph --> btn + h2o + nadp
BTS4	[c] : amet + dtbt + s --> btn + dad-5 + h + met-L
BUTCT	[c] : accoa + but --> ac + btcoa
BUTSO3abcpp	atp[c] + butso3[p] + h2o[c] --> adp[c] + butso3[c] + h[c] + pi[c]
BUTSO3tex	butso3[e] <==> butso3[p]
BUTt2rpp	but[p] + h[p] <==> but[c] + h[c]
BUTtex	but[e] <==> but[p]
